dma_name,dma_id,term,week,score,rank,percent_gain,refresh_date
Bend OR,821,argentina vs peru,2022-12-18,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2023-07-09,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2023-08-20,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2022-04-17,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2020-04-05,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2020-05-31,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2020-09-27,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2023-07-02,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2024-06-16,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2020-01-12,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2020-12-06,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2023-10-15,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2021-03-21,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2019-12-15,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2022-09-18,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2024-09-29,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2022-06-05,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2022-12-11,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2020-08-09,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2021-04-25,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2022-05-08,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2022-08-14,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2022-08-21,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2023-04-09,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2020-12-20,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2021-02-07,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2024-11-10,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2020-01-19,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2022-04-03,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2020-02-02,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2020-10-04,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2021-04-18,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2019-12-08,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2024-04-14,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2020-07-19,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2023-08-06,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2023-12-03,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2024-10-20,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2024-01-07,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2024-07-28,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2024-09-01,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2020-06-14,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2022-05-08,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2024-07-14,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2020-08-16,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2023-11-26,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2024-06-30,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2024-10-13,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2020-02-02,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2020-04-26,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2020-09-13,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2021-07-04,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2022-10-02,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2024-03-31,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2024-04-21,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2024-10-06,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2022-12-18,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2022-04-03,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2021-06-13,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2024-08-11,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2022-12-11,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2021-09-12,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2022-08-14,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2022-07-03,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2020-08-30,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2021-09-05,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2021-02-14,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2023-09-24,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2023-10-15,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2024-01-14,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2024-09-01,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2020-01-12,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2021-05-09,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2021-10-31,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2022-09-18,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2022-11-13,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2023-09-17,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2024-04-28,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2021-12-12,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2020-05-24,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2021-04-25,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2021-05-02,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2021-08-08,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2022-06-12,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2023-07-16,,24,140,2024-11-22
